,city,date_mutation,latitude,longitude,nombre_pieces_principales,surface_reelle_bati,surface_terrain,type_local,valeur_fonciere
0,Abbaretz,2016,47.535743,-1.5341790000000002,3.0,115.0,1803.0,Maison,160000.0
1,Aigrefeuille-sur-Maine,2018,47.080574,-1.405583,4.0,121.0,1076.0,Maison,284850.0
2,Abbaretz,2019,,,5.0,132.0,5081.0,Maison,262500.0
3,Aigrefeuille-sur-Maine,2016,47.082339000000005,-1.40531,6.0,94.0,465.0,Maison,210000.0
4,Abbaretz,2017,,,0.0,,463.0,Local industriel. commercial ou assimilé,15000.0
5,Abbaretz,2018,,,4.0,98.0,1000.0,Maison,180000.0
6,Abbaretz,2016,,,2.0,61.0,144.0,Maison,132800.0
7,Abbaretz,2019,,,3.0,56.0,2224.0,Maison,90000.0
8,Abbaretz,2014,47.536902000000005,-1.5350110000000001,0.0,24.0,2888.0,Maison,90000.0
9,Abbaretz,2016,,,3.0,78.0,3.0,Maison,90000.0
10,Abbaretz,2017,47.547725,-1.533115,0.0,45.0,305.0,Local industriel. commercial ou assimilé,12000.0
11,Abbaretz,2017,,,4.0,93.0,570.0,Maison,150000.0
12,Abbaretz,2019,,,0.0,,141.0,Dépendance,40000.0
13,Abbaretz,2017,47.547748,-1.532885,2.0,59.0,435.0,Maison,90000.0
14,Abbaretz,2014,,,5.0,120.0,420.0,Maison,171000.0
15,Abbaretz,2019,,,5.0,166.0,1030.0,Maison,300000.0
16,Abbaretz,2018,,,0.0,,26.0,Dépendance,36500.0
17,Abbaretz,2018,,,2.0,66.0,705.0,Maison,58500.0
18,Abbaretz,2017,,,2.0,100.0,205.0,Maison,102000.0
19,Abbaretz,2018,,,6.0,160.0,669.0,Maison,182000.0
20,Abbaretz,2017,,,3.0,70.0,130.0,Maison,65000.0
21,Abbaretz,2017,,,4.0,90.0,1400.0,Maison,90000.0
22,Abbaretz,2018,,,6.0,128.0,1000.0,Maison,170000.0
23,Abbaretz,2017,,,2.0,87.0,1173.0,Maison,216000.0
24,Aigrefeuille-sur-Maine,2015,47.081358,-1.409346,4.0,88.0,432.0,Maison,150000.0
25,Aigrefeuille-sur-Maine,2016,47.083248,-1.405506,5.0,110.0,722.0,Maison,220000.0
26,Aigrefeuille-sur-Maine,2016,47.082477000000004,-1.405356,4.0,81.0,249.0,Maison,172000.0
27,Abbaretz,2018,,,0.0,224.0,740.0,Local industriel. commercial ou assimilé,230000.0
28,Abbaretz,2017,,,0.0,250.0,2982.0,Local industriel. commercial ou assimilé,50500.0
29,Abbaretz,2015,,,3.0,103.0,157.0,Maison,120000.0
30,Abbaretz,2017,,,6.0,99.0,882.0,Maison,110000.0
31,Abbaretz,2016,,,0.0,403.0,804.0,Local industriel. commercial ou assimilé,85000.0
32,Abbaretz,2018,,,3.0,104.0,2040.0,Maison,180000.0
33,Abbaretz,2016,,,4.0,124.0,1040.0,Maison,125000.0
34,Abbaretz,2014,,,3.0,73.0,630.0,Maison,100000.0
35,Abbaretz,2018,,,4.0,130.0,906.0,Maison,125000.0
36,Abbaretz,2019,,,3.0,97.0,775.0,Maison,105000.0
37,Abbaretz,2019,,,3.0,78.0,1779.0,Maison,120000.0
38,Abbaretz,2019,,,6.0,267.0,1000.0,Maison,419500.0
39,Abbaretz,2018,,,1.0,55.0,1837.0,Maison,88000.0
40,Abbaretz,2017,,,3.0,51.0,455.0,Maison,210000.0
41,Abbaretz,2018,,,6.0,128.0,12263.0,Maison,170000.0
42,Abbaretz,2016,,,4.0,100.0,700.0,Maison,170000.0
43,Aigrefeuille-sur-Maine,2018,47.083248,-1.405506,5.0,110.0,722.0,Maison,272000.0
44,Abbaretz,2019,,,3.0,82.0,2012.0,Appartement,450000.0
45,Abbaretz,2016,,,0.0,,108.0,Local industriel. commercial ou assimilé,47000.0
46,Abbaretz,2014,,,6.0,170.0,605.0,Maison,176000.0
47,Abbaretz,2016,47.53321,-1.5275,3.0,114.0,270.0,Maison,102500.0
48,Abbaretz,2018,,,5.0,92.0,59.0,Maison,51000.0
49,Abbaretz,2016,,,4.0,100.0,909.0,Maison,170000.0
50,Abbaretz,2018,,,2.0,37.0,701.0,Maison,147000.0
51,Abbaretz,2014,,,2.0,66.0,705.0,Maison,71500.0
52,Abbaretz,2019,,,6.0,175.0,2012.0,Maison,450000.0
53,Abbaretz,2016,,,4.0,90.0,155.0,Maison,108500.0
54,Abbaretz,2015,,,2.0,72.0,2235.0,Maison,118000.0
55,Abbaretz,2017,,,4.0,90.0,844.0,Maison,90000.0
